RetId,RetName,Score,MultipleScoreMethod,No_Premises,Prem*Score,Scraped?
50000187,Dunnes Stores (ROI),35.59279025,Retailer,117,4164.35646,
100948,Primark,45.51137734,Retailer,37,1683.920961,
101122,Tesco,18.6850908,Grocery,81,1513.492355,
100249,The Carphone Warehouse,10.47516711,Retailer,96,1005.616043,
100172,Boots The Chemist,11.84137578,Retailer,83,982.8341897,
100827,Next,29.46084836,Retailer,28,824.9037541,
100060,Argos,20.22934899,Retailer,40,809.1739596,
107189,Eason,13.10914158,Retailer,53,694.7845037,
100765,Marks & Spencer,35.59279025,Retailer,17,605.0774343,
101199,Vodafone,5.741096357,Retailer,104,597.0740211,
106775,Tesco Extra,43.80574445,Grocery,13,569.4746779,
102131,TK Maxx,20.53685723,Retailer,25,513.4214308,
50000118,Shaws Department Stores,30.47318376,Retailer,16,487.5709402,
50000105,Sports World,14.06778626,Retailer,31,436.101374,
102447,Lidl,3,Grocery,139,417,
101760,Debenhams,36.78096372,Retailer,11,404.590601,
50000026,Game Stop,7.419102964,Retailer,51,378.3742511,
12660202,Currys PC World,26.02154192,Retailer,14,364.3015869,
102793,Aldi,3,Grocery,119,357,
101067,Spar,1,Footfall,344,344,
106686,Smyths,16.02158174,Retailer,21,336.4532166,
50000170,Expert,4.859033311,Retailer,64,310.9781319,
100985,River Island,11.98914134,Retailer,24,287.7393922,
50000013,Carraig Donn Sales Ltd,8.342577869,Retailer,34,283.6476476,
100098,Bank Of Ireland,1,Footfall,259,259,
100085,B&Q,32.33400792,Retailer,8,258.6720634,
100824,New Look,8.65497008,Retailer,29,250.9941323,
103987,3 Store,3.79044859,Retailer,64,242.5887098,
100535,H&M,14.97469667,Retailer,16,239.5951467,
50000022,Art & Hobby,10.0819237,Retailer,23,231.8842452,
100549,Halfords,9.531795916,Retailer,24,228.763102,
100613,Intersport,3.737412168,Retailer,60,224.2447301,
101703,Zara,24.31186448,Retailer,9,218.8067803,
104839,Toymaster,6.619999999,Retailer,31,205.22,
106877,Lifestyle Sports,3.43358118,Retailer,58,199.1477084,
100588,Homebase,17.44961753,Retailer,11,191.9457928,
100585,Holland & Barrett,3.49306689,Retailer,51,178.1464114,
106632,Harry Corry,7.773928477,Retailer,22,171.0264265,
100370,Diesel,12.09385052,Retailer,14,169.3139073,
50000122,Sam McCauley Chemists,5.008822209,Retailer,30,150.2646663,
50000053,Hickey's Pharmacy,5.008822209,Retailer,29,145.2558441,
50000002,Meteor,3.628380841,Retailer,40,145.1352337,
50000171,Eir,3.628380841,Retailer,40,145.1352337,
50000001,Michael Guiney Ltd,13.05980819,Retailer,11,143.6578901,
50000012,Home Focus at Hickeys,8.220245528,Retailer,17,139.744174,
50000094,Name It,6.988031333,Retailer,19,132.7725953,
105087,IKEA,131.3031092,Retailer,1,131.3031092,
50000069,McCabes Pharmacy,5.008822209,Retailer,26,130.2293774,
100388,Dorothy Perkins,5.191821694,Retailer,25,129.7955424,
101147,Tommy Hilfiger,11.60451562,Retailer,11,127.6496718,
102869,Schuh,11.26074212,Retailer,11,123.8681633,
50000009,Brown Thomas,30.47318376,Retailer,4,121.8927351,
104919,Tesco Metro,6.398380682,Grocery,19,121.569233,
100300,Clarks,6.011254587,Retailer,20,120.2250917,
101081,Starbucks Coffee,2,Catering,60,120,
50000023,Champion Sports,8.508438495,Retailer,14,119.1181389,
50000029,DID Electrical,4.859033311,Retailer,24,116.6167995,
105092,Bershka,16.20864618,Retailer,7,113.4605233,
50000059,Woodie's DIY,3.193350604,Retailer,35,111.7672711,
50000003,Ulster Bank,1,Footfall,111,111,
106224,Jack & Jones,3.977974972,Retailer,26,103.4273493,
50000144,Paul Byron Shoes,5.135411998,Retailer,20,102.70824,
102219,Carpetright,4.716636013,Retailer,21,99.04935628,
50000129,Maxi Zoo,5.288974884,Retailer,18,95.20154791,
100615,JD Sports,8.508438495,Retailer,11,93.59282345,
107093,Flying Tiger Copenhagen,5.686558767,Retailer,16,90.98494028,
106541,CeX,7.419102964,Retailer,12,89.02923556,
101294,Mexx,3.0638677,Retailer,29,88.8521633,
50000005,Butler's Chocolate Cafe,4.666234256,Retailer,19,88.65845085,
50000088,Right Price Tiles,3.571860442,Retailer,24,85.72465061,
106876,DV8,8.342577869,Retailer,10,83.42577869,
50000011,Avoca,8.220245528,Retailer,10,82.20245528,
50000137,Bookstation,5.432534946,Retailer,15,81.48802419,
12807006,Stradivarius,20.2843749,Retailer,4,81.1374996,
50000032,Fields Jewellers,5.589638919,Retailer,14,78.25494486,
101151,Topshop,5.191821694,Retailer,15,77.87732541,
50000051,Pamela Scott,3.212430616,Retailer,24,77.09833478,
107176,Pandora,4.97371353,Retailer,15,74.60570295,
101811,Hallmark,3.50788548,Retailer,21,73.66559508,
100298,Claire's,2.15294828,Retailer,34,73.20024152,
50000090,SPAR Express,1,Footfall,73,73,
106938,Superdry,10.38591895,Retailer,7,72.70143266,
100156,The Body Shop,3.448484613,Retailer,21,72.41817688,
101720,The Perfume Shop,5.152790732,Retailer,14,72.13907025,
50000042,Tylers Ltd,5.135411998,Retailer,14,71.89576797,
106788,Vero Moda,3.977974972,Retailer,18,71.60354949,
102173,DFS,22.98709193,Retailer,3,68.96127579,
50000095,PETMANIA,5.288974884,Retailer,13,68.75667349,
100441,Evans,5.191821694,Retailer,13,67.49368202,
50000057,Golden Discs,3.601258599,Retailer,18,64.82265478,
101060,Sony Centre,5.820496216,Retailer,11,64.02545838,
50000041,Shoe Rack,5.135411998,Retailer,12,61.62494398,
50000071,IMC Cinemas,5.000000117,Leisure,12,60.0000014,
50000167,The Book Haven,5.432534946,Retailer,11,59.7578844,
102644,Shoe Zone,2.386948299,Retailer,25,59.67370748,
103310,Harvey Nichols,58.09475019,Retailer,1,58.09475019,
107154,Pull & Bear,11.49084291,Retailer,5,57.45421455,
100597,Hugo Boss,11.43429504,Retailer,5,57.1714752,
100685,L'Occitane,4.76128729,Retailer,12,57.13544748,
101295,Foot Locker,7.113192682,Retailer,8,56.90554146,
100723,Lloydspharmacy,6.171415972,Retailer,9,55.54274375,
50000132,Omniplex Cinema,5.000000117,Leisure,11,55.00000129,
102021,Swarovski,4.97371353,Retailer,11,54.71084883,
50000168,Opening Minds,5.432534946,Retailer,10,54.32534946,
50000107,Euro Giant,3.863570254,Retailer,14,54.08998355,
100593,House of Fraser,52.90350341,Retailer,1,52.90350341,
50000078,Cummins Sports,7.512734892,Retailer,7,52.58914424,
50000185,Brand Max,13.05980819,Retailer,4,52.23923276,
100329,Costa,2,Catering,26,52,
101205,Wallis,5.191821694,Retailer,10,51.91821694,
101143,Timberland,10.00892901,Retailer,5,50.04464506,
100846,Odeon Cinema,5,Leisure,10,50,
50000075,Vila,5.445329093,Retailer,9,49.00796184,
50000031,Dubray Books,5.432534946,Retailer,9,48.89281451,
100537,H.Samuel,4.431987578,Retailer,11,48.75186336,
101069,Specsavers Opticians,1,Footfall,48,48,
50000034,Best Menswear,3.192077254,Retailer,15,47.8811588,
50000155,Homefront,7.773928477,Retailer,6,46.64357086,
105096,Skechers,5.135411998,Retailer,9,46.21870798,
50000136,Health Express Pharmacy,5.008822209,Retailer,9,45.07939988,
100924,Pizza Hut,3,Catering,15,45,
100507,Gap,11.06610545,Retailer,4,44.2644218,
50000139,Power City Ltd,4.859033311,Retailer,9,43.7312998,
50000072,Pixi Foto,3.93385819,Retailer,11,43.27244009,
100124,United Colors of Benetton,3.303496318,Retailer,13,42.94545213,
50000103,PACO,3.212430616,Retailer,13,41.76159801,
101804,Ecco,4.559228373,Retailer,9,41.03305536,
100841,Oasis Stores,3.11536221,Retailer,13,40.49970873,
100698,Laura Ashley,6.667803526,Retailer,6,40.00682115,
101255,Subway,1,Catering,40,40,
106795,Menarys,20,Retailer,2,40,
50000080,Monsoon Accessorize,5.64869968,Retailer,7,39.54089776,
100458,Fat Face,5.458113227,Retailer,7,38.20679259,
103865,Urban Outfitters,18.991671,Retailer,2,37.983342,
50000015,Gerard Fashions,5.402642778,Retailer,7,37.81849945,
50000143,Born Clothing,5.36841264,Retailer,7,37.57888848,
100207,Burton Menswear,5.191821694,Retailer,7,36.34275186,
107390,Sky,1,Retailer,36,36,
50000038,Carl Scarpa,5.135411998,Retailer,7,35.94788399,
50000152,Quills Woollen Market,7.04679296,Retailer,5,35.2339648,
50000131,Mods & Minis,6.988031333,Retailer,5,34.94015666,
50000138,€uro 2,3.863570254,Retailer,9,34.77213228,
50000028,Compu b,4.859033311,Retailer,7,34.01323318,
50000100,Click,4.859033311,Retailer,7,34.01323318,
50000004,Eddie Rockets,1,Footfall,34,34,
50000006,BT2,8.342577869,Retailer,4,33.37031148,
50000027,eMobile,3.628380841,Retailer,9,32.65542757,
103927,Pavers Shoes,4.617902454,Retailer,7,32.32531718,
101526,AllSaints,10.75840057,Retailer,3,32.27520171,
50000050,Only,3.212430616,Retailer,10,32.12430616,
50000052,Swamp,3.212430616,Retailer,10,32.12430616,
50000087,The Edinburgh Woolen Mill,3.207346314,Retailer,10,32.07346314,
50000084,Pulse Accessories,1.988176822,Retailer,16,31.81082915,
103358,Aldo,7.872158293,Retailer,4,31.48863317,
50000039,Cinders Shoe Heaven,5.135411998,Retailer,6,30.81247199,
50000150,McDonagh Shoes,5.135411998,Retailer,6,30.81247199,
100493,French Connection,5.104951922,Retailer,6,30.62971153,
100581,HMV,10.18589751,Retailer,3,30.55769252,
50000007,Arnotts,30.47318376,Retailer,1,30.47318376,
50000008,Boyers & Co Ltd,30.47318376,Retailer,1,30.47318376,
50000133,Winstons,30.47318376,Retailer,1,30.47318376,
50000145,Henry Lyons Department Store,30.47318376,Retailer,1,30.47318376,
50000019,Direct Sports,7.512734892,Retailer,4,30.05093957,
50000020,Korkys,7.512734892,Retailer,4,30.05093957,
100831,Nike,9.984558019,Retailer,3,29.95367406,
101401,Leonidas Chocolate,2.273805912,Retailer,13,29.55947686,
50000097,Fallers Sweater Shop,7.04679296,Retailer,4,28.18717184,
101409,Molton Brown,4.694257508,Retailer,6,28.16554505,
50000111,The Health Store,3.49306689,Retailer,8,27.94453512,
12860210,Inglot,4.595365072,Retailer,6,27.57219043,
50000099,FUJIFILM,3.93385819,Retailer,7,27.53700733,
50000151,The Book Shop,5.432534946,Retailer,5,27.16267473,
50000142,Lipstick Ladies Fashions,5.402642778,Retailer,5,27.01321389,
104931,Massimo Dutti,13.06776939,Retailer,2,26.13553878,
100848,Office Shoes,5.135411998,Retailer,5,25.67705999,
50000141,Connolly Shoes,5.135411998,Retailer,5,25.67705999,
