,Centre Name,Store Name
0,Antrim - The Junction,Amazon Hub
1,Antrim - The Junction,Animal
2,Antrim - The Junction,Asda
3,Antrim - The Junction,Asics
4,Antrim - The Junction,B&M Home Store
5,Antrim - The Junction,Beauty Outlet
6,Antrim - The Junction,Burger King
7,Antrim - The Junction,Centra | Nicholl Petrol Station
8,Antrim - The Junction,Costa Coffee
9,Antrim - The Junction,Denby
10,Antrim - The Junction,Golf Nation
11,Antrim - The Junction,Hallmark Outlet
12,Antrim - The Junction,Holiday Inn Express
13,Antrim - The Junction,Homebase
14,Antrim - The Junction,Jakes Cocktail Bar & Grill
15,Antrim - The Junction,Lidl
16,Antrim - The Junction,McDonald’s
17,Antrim - The Junction,Moes Grill
18,Antrim - The Junction,Mountain Warehouse
19,Antrim - The Junction,Nando’s
20,Antrim - The Junction,Next Clearance
21,Antrim - The Junction,Nike Factory Store
22,Antrim - The Junction,O2
23,Antrim - The Junction,Omniplex
24,Antrim - The Junction,Pavers Shoes
25,Antrim - The Junction,Pep & Co
26,Antrim - The Junction,Poundland
27,Antrim - The Junction,Regatta
28,Antrim - The Junction,SHRI Threading
29,Antrim - The Junction,Skechers
30,Antrim - The Junction,Starbucks
31,Antrim - The Junction,Starbucks Drive Thru
32,Antrim - The Junction,Subway
33,Antrim - The Junction,Synge & Byrne
34,Antrim - The Junction,The Entertainer
35,Antrim - The Junction,The Works
36,Antrim - The Junction,Tim Hortons
37,Antrim - The Junction,Trespass
38,Antrim - The Junction,Visitor Information Centre
39,Antrim - The Junction,Young Drivers Zone
